judul_lagu,validasi_sequence
Arthur Darley,fed edc
Bandon Bridge. Droi.cio.d-na-bandann.,f3a (gf)(ed)
Banish Misfortune.,fed cde \
Bell Table,a3 b a2
Biddy's Wedding Posga Brigidin,c>dc c2 c
Blackbird,d^cde !
Brian the Brave,(ef) \ f2 (fe/d/) e2 (ed/c/)
DERMOT Diarmuid,f3~g Ha2
Daniel O'Daly,d4 (d>e)
Darby the Driver.,a^ga a2 e =g>ag e>ge \
Down By the Ocean Tide,d2de f2g2
Drive the Cows Home.,aga e2 f
"Fair Maid of Cavan., The aindear .deas ua ca.bain., an",d4- d2 (de) d4-
Farmer's Jamboree,c/2d/2
Finnegan's Wake,fd ed/c/
Freedom For Ireland,a2f2 g2e2
Good Health to Our Friends Far Away,d>ed efg
Green Sleeves Muinlide Glas,e/-^f/- gag gfe gee e2 e/-^f/-
Have You Seen My Valentine? tog air ais an duille glan.,f4 b2
He Left  Us in Sorrow. d'fag se sinn .brona.c.,(a>g) (f(b/>a/))
I Leave You in Sadness. fagaim ann du.b.bron .tu.,(d/>c/)
I Love You My Darling,(f3 g) (a>g)
I'M WEARY OF LIFE Taim cuirthadh dn saoghal,d3 (edc)
It Would Not Do At All,.e.f.g.e .f.d.e.d efge aged
"Liffey's Silvery Stream., The an a.main lonn.ra.c liffi.",fd3 z2
Lord Mayo,d2 (ga) g2 (ag)
NORAH THE PRIDE OF KILDARE Nora an blath g-Cille-Dara,d2
Out on the Ocean.,e \
Paddy O'Carroll Paidin Ua Cearbaill,a/-g/
Planxty Irwin,!
Planxty Johnston,f2g a2b d3 d2z afg a2f
Sailor's Wife,d/2e/2
Sit under My Protection,ef g3 f
Smash The Windows,f2(fd)    gece d2dd   d2
South Wind,d4 c2
St. Bruno,a
THE BRAVE VOLUNTEERS,Tf2 e{fe}d
THE PARTING GLASS,e2a>f =gf(ed) (cd)(ec) Hd2(c>d)
THE ROCKY MOORLAND Riasc na carraige,f2 dc d=e^f2
THE WIDOW'S DAUGHTER,(gfg).a (bag).f
The Apprentice Boy,efg a2 f
The Bard of Armagh,ea>g ded d>(ef/2d/2)
The Humors of Bally Castle.,g (c/f/) z f (f2 g)
The Humors of Cappa.,dfd cec
The Humors of Enniskean,agfed2g-a
The Humors of Tralibane.,efg efg
The Lough Carra Fisherman,dfed eaaa
The Mantle So Green,g2 f2 e2
The Merry Old Woman. 1st Setting.,def gdc ~f3 ~g3
The Merry Old Woman. 2nd Setting.,dgg fdc ]
The Old Woman Tossed Up in a Blanket. Sweeping the Cobwebs Out of the Sky.,\
The Redhaired Boy,efec d2(cd)
The Sunrise,^d>ef>d e2z2
The Widowed Bride,e2 (e>f) g2 (f>e)
Within This Village Dwells a Maid,g2 (dg/a/) bg g>a b2 d2
Youghal Harbour,egfa gage
